ident,name,runway,latitude,longitude
00A,Total Rf Heliport,Bensalem,-74.93360138,40.07080078
00AA,Aero B Ranch Airport,Leoti,-101.473911,38.704022
00AK,Lowell Field,Anchor Point,-151.6959991,59.94919968
00AL,Epps Airpark,Harvest,-86.77030182,34.8647995
00AR,Newport Hospital & Clinic Heliport,Newport,-91.254898,35.6087
00AS,Fulton Airport,Alex,-97.8180194,34.9428028
00AZ,Cordes Airport,Cordes,-112.1650009,34.30559921
00CA,Goldstone /Gts/ Airport,Barstow,-116.8880005,35.3504982
00CL,Williams Ag Airport,Biggs,-121.763427,39.427188
00CN,Kitchen Creek Helibase Heliport,Pine Valley,-116.4597417,32.7273736
00CO,Cass Field,Briggsdale,-104.344002,40.622202
00FA,Grass Patch Airport,Bushnell,-82.21900177,28.64550018
00FD,Ringhaver Heliport,Riverview,-82.34539795,28.84659958
00FL,River Oak Airport,Okeechobee,-80.96920013,27.23089981
00GA,Lt World Airport,Lithonia,-84.06829834,33.76750183
00GE,Caffrey Heliport,Hiram,-84.73390198,33.88420105
00HI,Kaupulehu Heliport,Kailua/Kona,-155.980233,19.832715
00ID,Delta Shores Airport,Clark Fork,-116.2139969,48.14530182
00IG,Goltl Airport,McDonald,-101.395994,39.724028
00II,Bailey Generation Station Heliport,Chesterton,-87.12280273,41.64450073
00IL,Hammer Airport,Polo,-89.56040192,41.97840118
00IN,St Mary Medical Center Heliport,Hobart,-87.26059723,41.51139832
00IS,Hayenga's Cant Find Farms Airport,Kings,-89.12290192,40.02560043
00KS,Hayden Farm Airport,Gardner,-94.93049622,38.72779846
00KY,Robbins Roost Airport,Stanford,-84.61969757,37.40940094
00LA,Shell Chemical East Site Heliport,Gonzales,-90.980833,30.191944
00LL,Ac & R Components Heliport,Chatham,-89.70559692,39.66529846
00LS,Lejeune Airport,Esterwood,-92.42939758,30.13629913
00MD,Slater Field,Federalsburg,-75.75379944,38.75709915
00MI,Dow Chemical Heliport,Ludington,-86.41670227,43.94940186
00MN,Battle Lake Municipal Airport,Battle Lake,-95.70030212,46.29999924
00MO,Cooper Flying Service Airport,Alba,-94.41239929,37.20280075
00MT,Sands Ranch Airport,Havre,-109.705002,48.537498
00N,Bucks Airport,Bridgeton,-75.18520355,39.47320175
